ID,timestamp,x1,y1,x2,y2,x1sim,y1sim,x2sim,y2sim,nn_pred_x,nn_pred_y,svr_pred_x,svr_pred_y,nn_pred_xr,nn_pred_yr,svr_pred_xr,svr_pred_yr,reversed_x1sim,reversed_y1sim
320,0.2854,28.9767,40.2356,28.97668,40.23561,33627.6,4685.9,33626.3,4686.3,33619.01,4687.5566,33877.95283,4737.938745,28.976566554936568,40.2356457640968,28.980569577403962,40.23706994415258,,
320,0.2896,28.97669,40.23564,28.97669,40.23563,33627,4687.4,33627,4687,33618.27,4688.775,33895.51361,4746.972098,28.976555115204384,40.23568020528584,28.980841051214938,40.23732529495552,,
320,0.2965,28.95139,40.21291,28.95113,40.21285,31990.4,3883.3,31973.6,3881.1,31989.088,3880.5776,32140.53668,3907.109559,28.951369431748784,40.212834440814845,28.953710691665876,40.21358443442565,,
320,0.2986,28.91586,40.2137,28.91495,40.21377,29692.1,3911.2,29633.2,3913.7,29702.88,3899.6594,29284.33865,3974.750649,28.91602671926997,40.21337383664621,28.90955644771395,40.21549648265879,,
320,0.2993,28.89589,40.21525,28.89496,40.21533,28400.3,3966,28340.1,3968.9,28406.611,3954.5515,28276.67496,4031.813789,28.89598757035517,40.214925502103085,28.893978876438275,40.217109518108316,,
320,0.3125,28.84634,40.22379,28.84653,40.22367,25195.1,4268.1,25207.4,4263.9,25172.777,4267.638,25156.15464,4258.741679,28.845995415106735,40.22377569196765,28.845738448422075,40.223524214724314,,
320,0.316,28.90282,40.2145,28.90394,40.2144,28848.6,3939.5,28921,3936,28861.129,3925.1326,29692.04034,4104.679237,28.903014008452864,40.21409390172873,28.91585914790868,40.21916924616867,,
320,0.3194,28.93807,40.22698,28.93812,40.227,31128.8,4381,31132,4381.7,31116.695,4382.2905,30967.88909,4347.909068,28.93788302326472,40.22701663781951,28.935582618186846,40.22604475879881,,
320,0.3222,28.94588,40.23563,28.9461,40.2358,31634,4687,31648.2,4693,31631.033,4684.628,31665.58567,4666.190259,28.94583422457752,40.23556297973517,28.94636837767347,40.23504178987702,,
320,0.3243,28.95935,40.24108,28.95955,40.24096,32505.3,4879.8,32518.3,4875.6,32507.607,4884.337,32716.29493,4897.045652,28.959385267548416,40.24120826488053,28.962611394614626,40.24156750740016,,
320,0.3313,28.98017,40.23317,28.98017,40.23313,33852.1,4600,33852.1,4598.6,33849.84,4599.58,34169.6088,4636.771327,28.980134978422743,40.233158880715884,28.985078315493602,40.2342101885981,,
320,0.3333,28.97862,40.23209,28.97866,40.23198,33751.8,4561.8,33754.4,4557.9,33758.35,4557.86,34002.97357,4612.357999,28.978720625588405,40.231979558320475,28.982502285218697,40.23352008350565,,
320,0.334,28.97866,40.23192,28.97865,40.23225,33754.4,4555.8,33753.8,4567.4,33764.684,4546.632,33942.69195,4586.453464,28.97881854351225,40.23166217021272,28.981570385774983,40.23278782563729,,
320,0.3389,28.98005,40.23291,28.98018,40.23294,33844.3,4590.8,33852.8,4591.8,33843.19,4588.689,34149.12969,4621.769565,28.980032175424075,40.23285101877417,28.98476172693449,40.23378612546538,,
320,0.3403,28.98627,40.23194,28.98608,40.2321,34246.7,4556.5,34234.4,4562.1,34271.137,4548.954,34460.20209,4601.603776,28.986647849840914,40.23172780747547,28.989570625509465,40.23321608791531,,
320,0.3417,28.97956,40.2319,28.97941,40.23181,33812.6,4555,33802.9,4551.9,33812.633,4551.614,34101.05007,4583.295496,28.97955979178041,40.231802999171826,28.984018459399014,40.2326985576031,,
320,0.3701,28.98071,40.23163,28.98065,40.23161,33887,4545.5,33883.2,4544.8,33894.355,4543.1655,34192.4762,4598.897716,28.980823140149933,40.231564180733244,28.98543182486079,40.23313959421537,,
320,0.3715,28.97665,40.23246,28.97664,40.23247,33624.4,4574.9,33623.8,4575.2,33621.6,4573.8887,33932.90435,4630.953965,28.976606593999207,40.232432650479616,28.981419078311855,40.2340457459977,,
320,0.3722,28.97665,40.23354,28.97665,40.23357,33624.4,4613.1,33624.4,4614.1,33615.133,4613.002,33948.44395,4660.335717,28.97650662001539,40.23353828783935,28.98165930650406,40.234876296288924,,
320,0.4278,28.97682,40.23477,28.9769,40.23475,33635.4,4656.6,33640.6,4655.9,33627.133,4659.088,33642.56594,4666.243782,28.97669212918592,40.234841026379975,28.97693070851078,40.23504330284137,,
320,0.4292,28.97406,40.23513,28.97389,40.23516,33456.9,4669.3,33445.9,4670.4,33450.562,4666.36,33740.52132,4717.292381,28.973962500873405,40.23504658804008,28.9784450102852,40.23648632192226,,
320,0.4306,28.97161,40.23198,28.97164,40.23177,33298.4,4557.9,33300.3,4550.4,33291.68,4557.1885,33528.85586,4591.406479,28.971506328537355,40.23196057665728,28.975172853292275,40.232927835261314,,
320,0.4333,28.96935,40.23322,28.96955,40.2334,33152.2,4601.7,33165.1,4608.1,33155.543,4598.5303,33389.14518,4630.092715,28.96940177337495,40.23312920826338,28.973013052262157,40.234021400565936,,
320,0.434,28.97512,40.23686,28.97519,40.23677,33525.4,4730.5,33530,4727.3,33515.312,4728.886,33802.10214,4790.747204,28.974963477439406,40.23681404518521,28.97939699418844,40.23856271017285,,
320,0.4361,28.9741,40.23454,28.97384,40.23454,33459.5,4648.4,33442.6,4648.4,33455.22,4643.769,33732.23235,4686.198129,28.974034509349767,40.234407995704636,28.978316870289426,40.235607363443066,,
320,0.4375,28.97387,40.23426,28.97394,40.2344,33444.6,4638.5,33449.1,4643.5,33450,4638.8823,33240.66315,4585.792976,28.973953812860586,40.23426986064352,28.970717654076797,40.23276915525641,,
320,0.4382,28.97683,40.23448,28.97688,40.2346,33636.1,4646.3,33639.3,4650.6,33632.453,4643.2837,33913.26752,4701.696807,28.976774371584856,40.23439427746018,28.981115510641423,40.236045473176155,,
320,0.466,28.97393,40.23858,28.97385,40.23859,33448.5,4791.4,33443.3,4791.7,33452.58,4789.075,33758.83576,4809.602538,28.97399369733225,40.238515441054275,28.978728134999628,40.239095704364104,,
320,0.4722,28.97804,40.23467,28.97802,40.23473,33714.3,4653,33713,4655.2,33706.125,4654.914,33784.67341,4670.719133,28.977913274219148,40.23472303760533,28.979127561751298,40.23516981007199,,
320,0.475,28.97703,40.23543,28.97701,40.23542,33649,4679.9,33647.7,4679.6,33640.34,4680.838,33913.19057,4734.967549,28.97689629748719,40.235455845701644,28.981114321063867,40.236985955706174,,
320,0.4833,28.99757,40.21935,28.998,40.21892,34977.7,4111.1,35005.5,4095.9,34942.688,4103.4453,34946.22528,4098.797867,28.99702942225596,40.21913436578663,28.997084105412522,40.2190029942186,,
320,0.484,29.0052,40.21271,29.00593,40.21276,35471.2,3876.2,35518.4,3877.9,35504.926,3879.5115,35538.18276,3841.478056,29.005721114341135,40.21280430477444,29.006235233837987,40.21172919230359,,
320,0.4875,29.05688,40.1972,29.05761,40.19732,38814.2,3327.5,38861.5,3331.7,38825.926,3317.3708,39142.89042,3242.583561,29.05706077728613,40.19691396160857,29.061960761173015,40.1947999092154,,
320,0.4903,29.11578,40.19136,29.11647,40.19135,42624.3,3120.9,42668.9,3120.5,42609.19,3115.641,42670.45777,3117.399005,29.11554662449839,40.19121155338803,29.11649376893115,40.19126124789109,,
320,0.4938,29.15142,40.19051,29.15151,40.19038,44929.7,3090.8,44935.5,3086.2,44928.76,3084.8186,44599.15139,3159.37379,29.151405083389484,40.190340279500205,29.146309631736013,40.19244777243551,,
320,0.4965,29.15151,40.19038,29.15166,40.19025,44935.5,3086.2,44945.2,3081.6,44985.156,3087.5254,36763.60933,3980.878951,29.152276914654596,40.19041679411813,29.02517922271713,40.21566971477275,,
320,0.4986,29.13638,40.19165,29.13549,40.19161,43956.8,3131.2,43899.3,3129.7,43998.918,3114.9807,43206.11771,3210.084065,29.13703056521059,40.19119288832145,29.124774588194242,40.193881227924116,,
320,0.5,29.10019,40.19161,29.09932,40.1916,41615.8,3129.7,41559.5,3129.4,41644.656,3116.2698,41748.95308,3102.638133,29.10063579930749,40.19122932802663,29.102248138040807,40.1908439941297,,
320,0.5056,29.0407,40.1946,29.04061,40.19468,37767.6,3235.5,37761.8,3238.3,37769.227,3226.4026,37847.45588,3250.323285,29.040725164370045,40.194342513010064,29.041934512256756,40.1950186922894,,
320,0.5083,29.04169,40.19365,29.04161,40.19372,37831.6,3201.9,37826.5,3204.4,37830.684,3193.8342,38014.90944,3144.170689,29.041675234127833,40.19342188397117,29.044523193174953,40.19201801794152,,
320,0.5111,29.01923,40.21102,29.01923,40.21107,36378.8,3816.4,36378.8,3818.2,36375.438,3809.5557,36547.32636,3811.213009,29.019178444262717,40.21082682534902,29.021835683186705,40.210873673422356,,
320,0.5201,28.96431,40.22991,28.96456,40.22978,32826.2,4484.6,32842.3,4480,32827.914,4481.256,33019.38942,4505.661847,28.964336924705574,40.22981415053577,28.96729696190071,40.23050404415864,,
